"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"65","Greece","GRC",0.88,0.788,0.605,0.795,0.797,0.773,1,0,0.9166666,0,NA,5.24,0.6388889,10.6,96.61441,"0.758",0.705426356589147,NA,"25295.27",403.53793332
"66","Grenada","GRD",NA,NA,NA,NA,NA,NA,NA,0,0.94134331,NA,NA,NA,NA,8.7,93.86869,"0.89",NA,NA,"8314.5596",NA
"67","Guatemala","GTM",0.614,0.448,0.376,0.384,0.259,0.4162,0.9,0.5,0.7,NA,NA,NA,0.41898149,6.3,79.074211,"0.441",0.687984496124031,NA,"4438",403.50324
"68","Guinea","GIN",0.468,0.21,0.217,0.278,0.253,0.2852,0.7,0.5,0.51666665,NA,NA,NA,0.3888889,2.6,30.47279,"0.198",0.300387596899225,NA,"993.83002",403.40037333
"69","Guinea-Bissau","GNB",0.551,0.314,0.235,0.311,0.294,0.341,0.8,0.5,0.56666665,NA,NA,NA,0.31944445,2.9,59.77285,"0.33",0.455426356589147,NA,"961.26001",403.44153333
"70","Guyana","GUY",0.623,0.435,0.389,0.4,0.451,0.4596,0.85,0,0.8,NA,NA,NA,0.41666666,8.4,87.535316,"0.407",0.62984496124031,NA,"2042.8199",403.42192
"71","Haiti","HTI",0.425,0.24,0.241,0.22,0.131,0.2514,0.5,0.5,0.41666665,NA,NA,NA,0.1388889,5.2,60.68935,"0.251",0.61046511627907,NA,"1024.9399",403.33361333
"72","Honduras","HND",0.464,0.247,0.264,0.318,0.193,0.2972,0.85,0.5,0.675,NA,NA,NA,0.3888889,6.3,87.8149115,"0.235",0.602713178294574,NA,"3303.1399",403.46444
"73","Hong Kong","HKG",0.347,0.305,0.14,0.281,0.343,0.2832,NA,NA,NA,NA,36.5,NA,NA,12,96.52701,"0.61",0.984496124031008,NA,"35142.49",NA
"74","Hungary","HUN",0.607,0.476,0.385,0.397,0.493,0.4716,1,0,0.9166666,2.5,NA,2.58,0.6388889,11.8,99.380882,"0.526",0.808139534883721,NA,"18310.811",403.47765332
"75","Iceland","ISL",0.866,0.789,0.644,0.708,0.785,0.7584,NA,0,1,11.1,NA,NA,0.94444442,12.2,99,"0.804",0.87015503875969,NA,"31313.609",NA
"76","India","IND",0.615,0.466,0.353,0.457,0.359,0.45,0.95,0,0.85,NA,NA,NA,0.63194442,6.3,73.299147,"0.5",0.523255813953488,4,"4256.79",403.45
"77","Indonesia","IDN",0.677,0.531,0.467,0.611,0.468,0.5508,0.95,0.5,0.8083333,NA,NA,-2.79,0.47453704,7.9,95.5481215,"0.543",0.633720930232558,0.5,"4780.0098",403.56182666
"78","Iran","IRN",0.216,0.155,0.059,0.194,0.204,0.1656,0.15,1,0.15833333,NA,NA,NA,0.47222224,9.8,87.172531,"0.177",0.234496124031008,NA,"12889.28",403.294786666
"79","Iraq","IRQ",0.42,0.252,0.265,0.25,0.217,0.2808,0.8,1,0.525,NA,NA,NA,0.2638889,6.6,79.721764,"0.245",NA,NA,"4178.2598",403.52116
"80","Ireland","IRL",0.889,0.833,0.651,0.811,0.786,0.794,1,0,1,0,NA,11.99,0.91666669,12.3,99,"0.808",0.988372093023256,NA,"46422.07",403.5588
"81","Israel","ISR",0.743,0.645,0.478,0.588,0.588,0.6084,0.8,0,0.8583334,NA,NA,NA,0.80555552,13,99,"0.609",0.757751937984496,NA,"25926.25",403.45334668
"82","Italy","ITA",0.881,0.813,0.691,0.832,0.779,0.7992,1,0,1,0,52.6,-0.77,0.56944442,10.2,99.0857765,"0.76",0.875968992248062,3,"32931.672",403.55984
"83","Ivory Coast","CIV",0.513,0.354,0.324,0.415,0.322,0.3856,0.7,0.5,0.6,NA,NA,NA,0.25,5,45.215335,"0.349",0.501937984496124,NA,"1354.29",403.43712
"84","Jamaica","JAM",0.833,0.72,0.577,0.708,0.619,0.6914,0.95,0,0.85,NA,NA,NA,0.54166669,9.6,88.499901,"0.699",0.713178294573643,NA,"4668.77",403.49828
"85","Japan","JPN",0.816,0.726,0.537,0.762,0.731,0.7144,1,0,1,0,NA,2.7,0.8611111,12.5,99,"0.718",0.920542635658915,3,"36123.77",403.54288
"86","Jordan","JOR",0.262,0.209,0.124,0.236,0.206,0.2074,0.35,1,0.3,NA,NA,NA,0.55555558,10.3,98.1207305,"0.214",0.63953488372093,NA,"5188.9199",403.37148
"87","Kazakhstan","KAZ",0.245,0.129,0.097,0.105,0.216,0.1584,0.2,1,0.225,NA,NA,2,0.44444445,11.7,99.7847395,"0.134",0.598837209302326,NA,"14098.88",403.31668
"88","Kenya","KEN",0.472,0.359,0.328,0.378,0.268,0.361,0.95,0.5,0.725,NA,NA,NA,0.3611111,6.3,79.7791845,"0.349",0.593023255813953,NA,"1494.63",403.5072
"89","Kiribati","KIR",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,7.9,93.9,"0.92",NA,NA,"1532.65",NA
"90","Kuwait","KWT",0.326,0.289,0.136,0.303,0.265,0.2638,0.15,0.5,0.24166665,NA,NA,NA,0.55555558,7.1,96.087088,"0.274",0.441860465116279,NA,"64342.711",403.23109333
"91","Kyrgyzstan","KGZ",0.445,0.288,0.249,0.398,0.303,0.3366,0.85,0.5,0.59166665,NA,NA,2.28,NA,10.8,99.54366,"0.365",0.542635658914729,NA,"3010.24",403.45565333
"92","Laos","LAO",0.094,0.076,0.095,0.039,0.106,0.082,0.15,1,0.11666666,NA,NA,NA,NA,5.1,79.867462,"0.09",0.457364341085271,NA,"2926.77",403.269733332
"93","Latvia","LVA",0.86,0.747,0.677,0.752,0.741,0.7554,0.9,0,0.8666666,0,NA,4.48,0.65277779,12.8,99.8910015,"0.751",0.922480620155039,NA,"16583.67",403.50441332
"94","Lebanon","LBN",0.526,0.336,0.316,0.428,0.322,0.3856,0.8,0.5,0.6083333,NA,NA,NA,0.49305555,8.5,94.560271,"0.302",0.548449612403101,NA,"14711.97",403.45878666
"95","Lesotho","LSO",0.61,0.459,0.394,0.456,0.513,0.4864,0.9,0.5,0.7833333,NA,NA,NA,NA,6.1,79.360931,"0.44",0.594961240310077,NA,"1539.79",403.53394666
"96","Liberia","LBR",0.642,0.489,0.361,0.556,0.435,0.4966,0.8,0.5,0.6916667,NA,NA,NA,0.25,4.4,47.60014,"0.446",0.550387596899225,NA,"488.26999",403.49765334
"97","Libya","LBY",0.282,0.186,0.17,0.27,0.248,0.2312,0.5,1,0.33333333,NA,NA,NA,0.40277779,7.3,91.38887,"0.191",0.191860465116279,NA,"4102.8398",403.412906666
"98","Liechtenstein","LIE",NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,12.4,99,"0.91",NA,NA,"102243.52",NA
"99","Lithuania","LTU",0.838,0.781,0.637,0.746,0.738,0.748,1,0,1,0,NA,4.3,0.625,13,99.82328,"0.767",0.916666666666667,NA,"17559.75",403.5496
"100","Luxembourg","LUX",0.896,0.813,0.498,0.84,0.845,0.7784,1,0,1,10,48.3,NA,0.94444442,12,99,"0.765",0.928294573643411,NA,"61404.48",403.55568
